epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1432.66,1.67684,1.18387,1.30287,0.75766,0.58474,0.68434,0.38012,1.50738,0.93896,1.21821,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286,0.00999857,0.00333286
2,2495.28,1.70458,1.17185,1.30505,0.74932,0.57369,0.67417,0.36694,1.54922,1.00506,1.25921,0.0195036,0.0065012,0.0195036,0.0065012,0.0195036,0.0065012,0.0195036,0.0065012
3,3498.71,1.75579,1.23591,1.34098,0.74916,0.56719,0.66209,0.35218,1.60558,1.03493,1.30877,0.0285136,0.00950455,0.0285136,0.00950455,0.0285136,0.00950455,0.0285136,0.00950455
4,4515.69,1.75224,1.22287,1.34691,0.76154,0.58676,0.68446,0.37163,1.55516,0.99322,1.27933,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,5477.17,1.69081,1.1565,1.31269,0.77568,0.60244,0.70364,0.38761,1.51078,0.95208,1.2607,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,6408.09,1.65488,1.11969,1.29163,0.78589,0.61383,0.71741,0.40034,1.48166,0.92384,1.23679,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,7360.24,1.62254,1.08054,1.27178,0.79112,0.62628,0.72835,0.41218,1.45034,0.89938,1.21815,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,8290.32,1.59606,1.05758,1.25724,0.8016,0.62679,0.73301,0.42053,1.42668,0.88403,1.20356,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,9184.28,1.58002,1.03963,1.24603,0.80167,0.63807,0.74189,0.4268,1.41749,0.8674,1.19659,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,10022.5,1.56669,1.02592,1.23562,0.80006,0.64016,0.74385,0.42937,1.40346,0.85256,1.18812,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,10858.5,1.55739,1.01386,1.2277,0.80422,0.64815,0.7501,0.43702,1.38819,0.84736,1.17664,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,11697.6,1.54048,1.00057,1.22246,0.81303,0.64926,0.75483,0.44051,1.38093,0.83353,1.17543,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,12536.2,1.53328,0.98476,1.21476,0.81512,0.65407,0.75852,0.44559,1.36579,0.82414,1.16834,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,13369.7,1.52084,0.97966,1.2128,0.81666,0.65865,0.76222,0.44928,1.35973,0.8111,1.16425,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,14207.1,1.51438,0.97224,1.20678,0.81715,0.65986,0.765,0.45226,1.34788,0.81023,1.15652,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,15047.6,1.50759,0.96087,1.19941,0.81845,0.66333,0.76853,0.45511,1.34362,0.79941,1.15167,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,15887,1.50012,0.95636,1.19735,0.82008,0.66552,0.76969,0.45687,1.34081,0.79466,1.15063,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,16727.4,1.49067,0.94734,1.19215,0.8231,0.66763,0.7722,0.45977,1.33382,0.78804,1.14693,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,17565.3,1.488,0.94468,1.18724,0.8216,0.66902,0.77316,0.46199,1.32644,0.78614,1.14148,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,18399.3,1.48031,0.93618,1.1814,0.82574,0.67067,0.7759,0.46482,1.32148,0.7798,1.13879,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,19239,1.47033,0.9259,1.1804,0.82709,0.67335,0.77792,0.46722,1.31525,0.77408,1.13422,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,20073.1,1.4645,0.92059,1.17738,0.82725,0.67511,0.77884,0.46859,1.31184,0.77232,1.13139,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,20909.5,1.45704,0.91539,1.17219,0.8294,0.6764,0.78005,0.47009,1.30872,0.76856,1.12989,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,21748.5,1.45471,0.90822,1.16876,0.82825,0.67842,0.78104,0.47143,1.30575,0.76388,1.12751,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,22582.6,1.44706,0.90673,1.16521,0.82851,0.67826,0.78156,0.47248,1.30329,0.7616,1.12585,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,23419.8,1.44096,0.9004,1.16347,0.82847,0.67937,0.78251,0.47369,1.30001,0.75828,1.12408,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,24253.1,1.43371,0.89148,1.15794,0.83225,0.68027,0.7834,0.47465,1.29727,0.75561,1.12232,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,25088.7,1.42521,0.88444,1.1568,0.8307,0.68288,0.78473,0.47601,1.2954,0.75304,1.12094,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,25922.7,1.42044,0.88054,1.15353,0.83229,0.68382,0.78596,0.47662,1.29413,0.75094,1.12028,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,26759.3,1.41206,0.87262,1.14998,0.83189,0.68555,0.78648,0.47737,1.29258,0.74862,1.1194,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,27614.7,1.46695,0.88162,1.12101,0.83117,0.68681,0.78708,0.47806,1.29229,0.74703,1.11884,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,28443,1.45089,0.86944,1.11907,0.83185,0.6869,0.78751,0.4784,1.29213,0.74555,1.11846,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,29274.4,1.4505,0.86654,1.11548,0.83254,0.68701,0.78794,0.47888,1.29187,0.74445,1.11835,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,30096.5,1.44578,0.86017,1.108,0.83334,0.68716,0.78826,0.47922,1.2913,0.74318,1.11806,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
