epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1005.35,1.59929,1.1318,1.32398,0.77064,0.59697,0.69553,0.38854,1.48701,0.91224,1.20803,0.00999814,0.00333271,0.00999814,0.00333271,0.00999814,0.00333271,0.00999814,0.00333271
2,1724.54,1.59523,1.10739,1.31711,0.755,0.57872,0.67264,0.37012,1.53702,0.98828,1.25886,0.0195032,0.00650106,0.0195032,0.00650106,0.0195032,0.00650106,0.0195032,0.00650106
3,2402.64,1.65378,1.16885,1.35604,0.74907,0.56395,0.66256,0.35841,1.5855,1.01816,1.28792,0.0285132,0.00950441,0.0285132,0.00950441,0.0285132,0.00950441,0.0285132,0.00950441
4,3070.36,1.6521,1.15847,1.36126,0.76154,0.58353,0.68145,0.37262,1.54921,0.98691,1.27536,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,3731.38,1.60006,1.09979,1.33248,0.77698,0.59714,0.69917,0.38813,1.51361,0.95648,1.25497,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,4392.2,1.56751,1.06203,1.30891,0.77851,0.60133,0.70464,0.395,1.48666,0.93453,1.23915,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,5061.48,1.53853,1.03817,1.29388,0.78473,0.61269,0.71713,0.40855,1.45956,0.91165,1.21929,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,5723.84,1.52076,1.01582,1.28108,0.78687,0.62232,0.72574,0.41609,1.43661,0.89498,1.20817,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,6383.67,1.49505,0.99307,1.26747,0.80005,0.63087,0.73449,0.42248,1.42318,0.87066,1.19593,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,7041.61,1.48037,0.97692,1.25867,0.79624,0.6362,0.73995,0.42807,1.41,0.86546,1.18728,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,7712.8,1.47441,0.97183,1.25087,0.80639,0.63882,0.74492,0.43316,1.39655,0.84884,1.18208,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,8366.64,1.45854,0.95479,1.24191,0.80733,0.6447,0.74888,0.43768,1.38537,0.84048,1.17448,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,9024.22,1.45119,0.9438,1.23641,0.8123,0.64995,0.75385,0.44269,1.37563,0.8351,1.16569,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,9678.85,1.43897,0.93557,1.23306,0.81448,0.65285,0.75618,0.44512,1.3654,0.82238,1.16323,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,10333.8,1.43014,0.92654,1.22242,0.81332,0.65387,0.75748,0.4476,1.36009,0.81635,1.16023,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,10987.9,1.41663,0.91425,1.21914,0.81433,0.66102,0.7622,0.45181,1.35284,0.80709,1.15432,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,11644.1,1.41175,0.90953,1.2146,0.8186,0.66241,0.76513,0.45551,1.34401,0.7991,1.15152,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,12298.6,1.41031,0.90283,1.21058,0.82339,0.66538,0.76839,0.45784,1.33955,0.79046,1.14432,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,12953.7,1.40169,0.89399,1.20701,0.82351,0.66612,0.76947,0.46063,1.33125,0.79098,1.14139,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,13611,1.39079,0.8891,1.20183,0.82674,0.66912,0.7722,0.46305,1.3267,0.78363,1.14039,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,14269.3,1.38778,0.88561,1.20126,0.82596,0.67124,0.77314,0.46458,1.32339,0.77933,1.13694,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,14928,1.37826,0.87777,1.19701,0.82951,0.67094,0.77604,0.46601,1.31823,0.77391,1.1347,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,15587.5,1.37617,0.87363,1.1944,0.82745,0.67386,0.77753,0.46833,1.31214,0.77241,1.13,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,16246.3,1.36835,0.86594,1.18531,0.82983,0.67585,0.77937,0.47009,1.30886,0.76617,1.12666,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,16904.9,1.36608,0.86324,1.18634,0.83005,0.67717,0.77961,0.47067,1.3064,0.76121,1.12474,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,17561.1,1.3582,0.8535,1.18122,0.83198,0.6774,0.78126,0.47207,1.3047,0.75722,1.12299,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,18218.8,1.35082,0.84564,1.17642,0.832,0.67955,0.78224,0.47383,1.30157,0.75414,1.12187,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,18875,1.34174,0.84314,1.17293,0.83475,0.68134,0.78442,0.47565,1.29799,0.75134,1.12066,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,19534.3,1.34175,0.84032,1.17171,0.8349,0.68257,0.78534,0.47725,1.29402,0.74863,1.11896,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,20192.5,1.3345,0.83394,1.16906,0.8345,0.68499,0.78605,0.4786,1.29096,0.74655,1.11674,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,20847.7,1.34762,0.81507,1.14811,0.8331,0.68226,0.7851,0.47794,1.29253,0.74548,1.11687,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,21494.6,1.34175,0.80978,1.14331,0.83405,0.68227,0.78488,0.47798,1.29338,0.74576,1.11737,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,22140.1,1.331,0.8021,1.14049,0.83583,0.68258,0.78572,0.4785,1.29254,0.74448,1.11672,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,22788.2,1.32679,0.79492,1.13657,0.83555,0.68238,0.78604,0.47912,1.29102,0.74336,1.11571,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,23433.4,1.32031,0.79108,1.13412,0.83691,0.68378,0.78657,0.47946,1.29053,0.74166,1.11597,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,24077.4,1.31322,0.78371,1.12971,0.8369,0.68415,0.7875,0.48012,1.28961,0.74038,1.1156,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,24725.7,1.30114,0.77232,1.12444,0.83685,0.68474,0.78785,0.4806,1.28843,0.73905,1.11448,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,25369.3,1.29917,0.77075,1.12293,0.83845,0.68398,0.78813,0.48097,1.28776,0.73813,1.11357,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,26012.7,1.29177,0.76412,1.12005,0.83887,0.68374,0.78819,0.48118,1.28762,0.73745,1.11331,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,26657.7,1.28789,0.75996,1.11718,0.83827,0.68436,0.78837,0.48121,1.28732,0.73694,1.11309,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
