epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,218.674,3.03259,2.49106,1.02374,0.41015,0.28449,0.23813,0.07289,2.89496,1.73181,0.9705,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,373.159,3.04232,1.93017,0.97365,0.32564,0.25757,0.19396,0.05799,3.00172,1.90348,0.95241,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,507.344,3.10481,1.96327,0.98757,0.30322,0.24877,0.17504,0.05032,3.0934,3.30501,0.98062,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,648.566,3.13728,1.99678,0.9866,0.35264,0.26248,0.2138,0.06183,2.97933,1.89295,0.9516,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,773.577,3.05024,1.90691,0.97427,0.39001,0.2691,0.23915,0.07251,2.94077,1.73439,0.96233,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1408.11,2.99971,1.85221,0.96172,0.38457,0.29408,0.25099,0.07874,2.84886,1.89878,0.94114,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1519.49,2.94368,1.81903,0.95644,0.44373,0.30403,0.27614,0.08231,2.82476,1.75918,0.9443,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1653.74,2.89359,1.76829,0.94533,0.4503,0.32512,0.30377,0.09693,2.74071,1.61662,0.92951,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1811.23,2.89473,1.74655,0.93987,0.4647,0.33002,0.31774,0.10223,2.69032,1.6423,0.925,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1978.61,2.86823,1.72656,0.93717,0.47161,0.3351,0.32491,0.10826,2.67105,1.52383,0.91926,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2130.46,2.83762,1.70495,0.93569,0.48324,0.34111,0.32921,0.10933,2.66907,1.55189,0.91283,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2231.57,2.79063,1.66507,0.93253,0.4769,0.34398,0.33059,0.10858,2.69195,1.53032,0.91745,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
