epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4789.17,2.59256,1.48527,0.88151,0.5756,0.40886,0.43494,0.16413,2.41086,1.31858,0.86924,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4912.19,2.6013,1.49117,0.88306,0.58638,0.41091,0.43832,0.16283,2.42167,1.31696,0.87017,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5039.81,2.58776,1.47579,0.88518,0.58853,0.41592,0.44281,0.16256,2.42421,1.30872,0.86505,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5160.71,2.57981,1.47516,0.88158,0.57118,0.42086,0.44259,0.16396,2.41389,1.31768,0.86843,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5282.13,2.58115,1.46761,0.88354,0.57077,0.41009,0.43734,0.16091,2.42636,1.30123,0.86816,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5411.31,2.5548,1.45344,0.88136,0.5919,0.42014,0.44954,0.16955,2.39269,1.29487,0.86348,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5538.74,2.5533,1.46354,0.88166,0.57075,0.42129,0.44252,0.16323,2.41112,1.3009,0.86412,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5658.9,2.55739,1.45499,0.87553,0.60664,0.41664,0.45228,0.17046,2.39175,1.28445,0.86128,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5785.69,2.55954,1.44575,0.87354,0.59507,0.41936,0.45295,0.17081,2.38983,1.29044,0.8637,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5910.47,2.54296,1.44029,0.87705,0.59989,0.41742,0.45492,0.17191,2.38931,1.27906,0.85961,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6036.58,2.55098,1.4382,0.877,0.59725,0.42244,0.45317,0.16994,2.3834,1.28359,0.86132,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6161.86,2.54708,1.43352,0.87687,0.59016,0.42143,0.45375,0.17068,2.37225,1.27355,0.86373,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6284.66,2.53372,1.43219,0.87578,0.58529,0.4211,0.45272,0.16995,2.37329,1.28562,0.86158,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7091.73,2.52407,1.41558,0.87476,0.59819,0.42938,0.4636,0.17475,2.37144,1.27176,0.85867,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7227.32,2.51967,1.42475,0.8715,0.59845,0.42143,0.45791,0.17506,2.36883,1.26682,0.86047,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7359.58,2.52486,1.41513,0.87418,0.59467,0.42831,0.46017,0.17477,2.35875,1.27373,0.85777,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7480.25,2.51651,1.41481,0.8744,0.59252,0.4253,0.45838,0.17364,2.36058,1.27333,0.85847,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7603.1,2.52901,1.41306,0.87074,0.60565,0.42895,0.46139,0.17614,2.35686,1.26742,0.85969,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7731.25,2.50978,1.39888,0.86933,0.61186,0.42748,0.46497,0.17608,2.35518,1.26052,0.85855,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7850.35,2.50259,1.40072,0.8674,0.60359,0.43475,0.47002,0.17879,2.34808,1.26154,0.85748,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7962.87,2.51516,1.40202,0.86978,0.59966,0.42723,0.46559,0.17728,2.35428,1.25616,0.85744,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8075.53,2.51126,1.40348,0.86947,0.60381,0.4321,0.46713,0.17639,2.35366,1.25599,0.85758,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8186.81,2.49594,1.39047,0.86989,0.60411,0.43296,0.46664,0.17962,2.34253,1.25747,0.85654,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8297.96,2.50456,1.39397,0.86393,0.60004,0.44019,0.46924,0.17818,2.34672,1.2549,0.85449,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8409.08,2.50521,1.39686,0.86736,0.5956,0.44456,0.47316,0.18262,2.33993,1.24404,0.85539,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8522.47,2.47993,1.38003,0.86772,0.59473,0.43525,0.46477,0.18035,2.33261,1.2535,0.85534,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8634.06,2.49233,1.38427,0.8667,0.61459,0.43768,0.47259,0.18367,2.33103,1.25221,0.85408,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8746.2,2.48795,1.38037,0.86621,0.61584,0.42633,0.47122,0.18088,2.33471,1.25389,0.85458,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8858.18,2.48449,1.38164,0.86275,0.62807,0.4306,0.47633,0.18415,2.33339,1.24346,0.85285,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8969.5,2.47772,1.36345,0.86642,0.60273,0.44141,0.47365,0.18241,2.32753,1.241,0.85353,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9080.93,2.46386,1.35896,0.86525,0.61304,0.4437,0.47913,0.18463,2.32633,1.23484,0.85224,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9192.15,2.46783,1.36817,0.86167,0.61514,0.44534,0.48099,0.18484,2.32225,1.23198,0.85204,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9307.64,2.46104,1.35845,0.8597,0.61611,0.44118,0.47847,0.18537,2.32164,1.23765,0.85186,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9420.9,2.46572,1.35389,0.86074,0.61149,0.44355,0.48143,0.18544,2.3161,1.23088,0.84962,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9531.77,2.45075,1.33851,0.86165,0.61954,0.44612,0.48308,0.18663,2.31163,1.22665,0.84866,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9643.21,2.4567,1.35562,0.86059,0.61844,0.44133,0.48372,0.18742,2.31724,1.22611,0.85036,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9754.17,2.44318,1.34257,0.86467,0.62164,0.44563,0.48592,0.18919,2.30576,1.22593,0.84971,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9865.65,2.42723,1.33373,0.86567,0.62087,0.44102,0.48197,0.18801,2.30582,1.22719,0.84879,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9977.31,2.42239,1.33337,0.86304,0.6157,0.44363,0.48278,0.18865,2.30486,1.22657,0.84904,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10097.9,2.45687,1.35012,0.85773,0.62062,0.44185,0.48298,0.18763,2.30593,1.22953,0.84897,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10212.5,2.43879,1.34164,0.85752,0.62484,0.43704,0.48111,0.18763,2.30027,1.22554,0.85031,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10325.2,2.42627,1.3344,0.86189,0.62749,0.44141,0.48444,0.18789,2.3026,1.22479,0.84929,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10438.2,2.42701,1.32703,0.85862,0.63053,0.44499,0.48642,0.18995,2.29877,1.22083,0.84866,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10550.5,2.44836,1.34239,0.85713,0.63097,0.44606,0.48787,0.19034,2.29729,1.2192,0.84842,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10662.6,2.42534,1.32598,0.85741,0.62477,0.44949,0.48976,0.19074,2.29188,1.21323,0.8475,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10776.4,2.42786,1.32407,0.85214,0.63661,0.4462,0.49045,0.19148,2.29493,1.2124,0.84807,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10889.1,2.42431,1.3248,0.85579,0.63647,0.44749,0.489,0.192,2.29882,1.21156,0.84861,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11000.9,2.41607,1.31969,0.85823,0.62525,0.45222,0.49031,0.19214,2.29347,1.21088,0.84877,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11116.3,2.41205,1.31151,0.85656,0.63995,0.44341,0.4902,0.19106,2.29239,1.21513,0.84849,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11228.3,2.42384,1.31757,0.85179,0.63013,0.44577,0.48827,0.19138,2.29217,1.21428,0.84813,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
