epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6580.41,2.56285,1.46092,0.86824,0.60818,0.44706,0.47422,0.18248,2.36248,1.26457,0.85448,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6772.45,2.5669,1.45051,0.86486,0.62273,0.43919,0.47733,0.18188,2.34967,1.25477,0.85111,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6964.82,2.55476,1.45146,0.86526,0.61775,0.44541,0.47881,0.18392,2.35113,1.25038,0.85196,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7156.74,2.57219,1.46892,0.8642,0.61006,0.45379,0.48633,0.18706,2.34218,1.25026,0.84907,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7348.83,2.53713,1.44622,0.86394,0.62762,0.4432,0.48227,0.18853,2.32384,1.24565,0.84687,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7540.97,2.52572,1.43503,0.86785,0.63626,0.43954,0.48052,0.18639,2.32664,1.24555,0.84772,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7732.46,2.52399,1.42823,0.86395,0.62278,0.44706,0.4862,0.19063,2.32267,1.23696,0.84603,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7924.46,2.52951,1.42974,0.85949,0.61661,0.45515,0.49044,0.19009,2.31907,1.22671,0.84611,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8116.45,2.49644,1.40533,0.8619,0.63806,0.4533,0.49323,0.19326,2.32134,1.23082,0.84649,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8308.47,2.52056,1.41185,0.8621,0.63512,0.45222,0.48894,0.19024,2.32665,1.23065,0.84419,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8502.31,2.48948,1.39556,0.86006,0.64587,0.45587,0.50093,0.19599,2.31336,1.21446,0.84448,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
